Ticker,Date,Close,Ratio
MSFT.US,2026-08-28,513.53,1.0
TSLA.US,2026-08-28,348.75,1.0
ETPMAG.AU,2026-08-31,85.08,1.0
MSFT.US,2026-08-31,507.29,1.0
PMGOLD.AU,2026-08-31,61.61,1.0
TSLA.US,2026-08-31,367.95,1.0
USDAUD.FOREX,2026-08-31,1.3966,1.3966
VGE.AU,2026-08-31,93.04,1.0
VGS.AU,2026-08-31,160.27,1.0
VISM.AU,2026-08-31,75.13,1.0
ETPMAG.AU,2026-09-01,85.42,1.0
MSFT.US,2026-09-01,501.02,1.0
PMGOLD.AU,2026-09-01,61.7,1.0
TSLA.US,2026-09-01,356.09,1.0
USDAUD.FOREX,2026-09-01,1.3926,1.3926
VGE.AU,2026-09-01,93.26,1.0
VGS.AU,2026-09-01,159.99,1.0
VISM.AU,2026-09-01,75.11,1.0
ETPMAG.AU,2026-09-02,82.1,1.0
MSFT.US,2026-09-02,496.82,1.0
PMGOLD.AU,2026-09-02,60.25,1.0
TSLA.US,2026-09-02,357.01,1.0
USDAUD.FOREX,2026-09-02,1.4037,1.4037
VGE.AU,2026-09-02,93.31,1.0
VGS.AU,2026-09-02,158.89,1.0
VISM.AU,2026-09-02,74.29,1.0
ETPMAG.AU,2026-09-03,84.59,1.0
MSFT.US,2026-09-03,510.12,1.0
PMGOLD.AU,2026-09-03,61.44,1.0
TSLA.US,2026-09-03,376.365,1.0
USDAUD.FOREX,2026-09-03,1.3895,1.3895
VGE.AU,2026-09-03,93.79,1.0
VGS.AU,2026-09-03,159.56,1.0
VISM.AU,2026-09-03,74.77,1.0
ETPMAG.AU,2026-09-04,84.81,1.0
MSFT.US,2026-09-04,499.7,1.0
PMGOLD.AU,2026-09-04,61.56,1.0
TSLA.US,2026-09-04,354.08,1.0
USDAUD.FOREX,2026-09-04,1.3883,1.3883
VGE.AU,2026-09-04,93.92,1.0
VGS.AU,2026-09-04,160.3,1.0
VISM.AU,2026-09-04,74.72,1.0
ETPMAG.AU,2026-09-07,83.42,1.0
PMGOLD.AU,2026-09-07,60.5,1.0
USDAUD.FOREX,2026-09-07,1.3856,1.3856
VGE.AU,2026-09-07,94.39,1.0
VGS.AU,2026-09-07,159.62,1.0
VISM.AU,2026-09-07,74.78,1.0
ETPMAG.AU,2026-09-08,84.22,1.0
MSFT.US,2026-09-08,493.95,1.0
PMGOLD.AU,2026-09-08,60.8,1.0
TSLA.US,2026-09-08,368.16,1.0
USDAUD.FOREX,2026-09-08,1.386,1.386
VGE.AU,2026-09-08,93.69,1.0
VGS.AU,2026-09-08,159.22,1.0
VISM.AU,2026-09-08,74.66,1.0
ETPMAG.AU,2026-09-09,84.63,1.0
MSFT.US,2026-09-09,491.65,1.0
PMGOLD.AU,2026-09-09,60.71,1.0
TSLA.US,2026-09-09,367.81,1.0
USDAUD.FOREX,2026-09-09,1.385,1.385
VGE.AU,2026-09-09,93.5,1.0
VGS.AU,2026-09-09,158.65,1.0
VISM.AU,2026-09-09,74.33,1.0
ETPMAG.AU,2026-09-10,86.09,1.0
MSFT.US,2026-09-10,492.44,1.0
PMGOLD.AU,2026-09-10,60.89,1.0
TSLA.US,2026-09-10,363.56,1.0
USDAUD.FOREX,2026-09-10,1.3893,1.3893
VGE.AU,2026-09-10,93.02,1.0
VGS.AU,2026-09-10,158.22,1.0
VISM.AU,2026-09-10,73.76,1.0
ETPMAG.AU,2026-09-11,82.0,1.0
MSFT.US,2026-09-11,495.63,1.0
PMGOLD.AU,2026-09-11,60.35,1.0
TSLA.US,2026-09-11,365.44,1.0
USDAUD.FOREX,2026-09-11,1.3943,1.3943
VGE.AU,2026-09-11,93.02,1.0
VGS.AU,2026-09-11,158.33,1.0
VISM.AU,2026-09-11,73.59,1.0
ETPMAG.AU,2026-09-14,81.97,1.0
PMGOLD.AU,2026-09-14,60.24,1.0
USDAUD.FOREX,2026-09-14,1.4057,1.4057
VGE.AU,2026-09-14,92.8,1.0
VGS.AU,2026-09-14,158.8,1.0
VISM.AU,2026-09-14,73.77,1.0
